particle concentration [ppm],q [1/A],mean intensity [a.u.],standard deviation of intensity [a.u.],background-subtracted intensity [a.u.],standard deviation of background-subtracted intensity [a.u.]
0.0,0.02980447988648968,30.51439114391144,0.4292773941954468,0.0,0.4292773941954468
0.0,0.02998402331988363,30.464341085271315,0.39194384133600985,0.0,0.39194384133600985
0.0,0.030163566723977644,30.399610894941635,0.3891675047168333,0.0,0.3891675047168333
0.0,0.030343110098596294,30.288,0.42825743397185606,0.0,0.42825743397185606
0.0,0.03052265344356413,30.21333333333334,0.35145864968930746,0.0,0.35145864968930746
0.0,0.030702196758705724,30.2,0.21451654308790427,0.0,0.21451654308790427
0.0,0.030881740043845626,30.188389513108614,0.2911924201827926,0.0,0.2911924201827926
0.0,0.031061283298808404,30.11182795698925,0.2791044742792358,0.0,0.2791044742792358
0.0,0.031240826523418617,30.16798561151079,0.2541821915715619,0.0,0.2541821915715619
0.0,0.03142036971750083,30.22656826568266,0.20063216224019703,0.0,0.20063216224019703
0.0,0.031599912880879606,30.239426523297492,0.20183890160912754,0.0,0.20183890160912754
0.0,0.0317794560133795,30.255514705882355,0.24270971784531317,0.0,0.24270971784531317
0.0,0.031958999114825075,30.270588235294117,0.2484602551990199,0.0,0.2484602551990199
0.0,0.03213854218504089,30.273684210526312,0.13378501517939195,0.0,0.13378501517939195
0.0,0.032318085223851524,30.108273381294964,0.15935251798510353,0.0,0.15935251798510353
0.0,0.03249762823108153,30.079442508710805,0.1946098306770104,0.0,0.1946098306770104
0.0,0.03267717120655546,29.997610921501707,0.2608636265966393,0.0,0.2608636265966393
0.0,0.032856714150097895,30.00610169491525,0.260831102669307,0.0,0.260831102669307
0.0,0.033036257061533375,29.902500000000003,0.271410008763154,0.0,0.271410008763154
0.0,0.03321579994068649,29.855631399317407,0.35787729317907196,0.0,0.35787729317907196
0.0,0.03339534278738179,29.75581395348837,0.3435872945906071,0.0,0.3435872945906071
0.0,0.03357488560144383,29.860544217687078,0.5684893635030727,0.0,0.5684893635030727
0.0,0.033754428382697196,29.775757575757574,0.29468955229067184,0.0,0.29468955229067184
0.0,0.033933971130966446,29.773378839590443,0.2724875005699188,0.0,0.2724875005699188
0.0,0.03411351384607612,29.88729096989967,0.26578446126519645,0.0,0.26578446126519645
0.0,0.0342930565278508,29.963961038961042,0.21145039813623304,0.0,0.21145039813623304
0.0,0.03447259917611507,30.087457627118642,0.1967433797702957,0.0,0.1967433797702957
0.0,0.03465214179069346,30.112779552715658,0.24782964041406136,0.0,0.24782964041406136
0.0,0.03483168437141055,30.138666666666666,0.2921308686955147,0.0,0.2921308686955147
0.0,0.035011226918090915,30.031309904153353,0.2962259246006759,0.0,0.2962259246006759
0.0,0.035190769430559106,29.876996805111823,0.2731106203281518,0.0,0.2731106203281518
0.0,0.03537031190863969,29.809120521172638,0.27087271026675863,0.0,0.27087271026675863
0.0,0.035549854352157254,29.73639240506329,0.21937958761235488,0.0,0.21937958761235488
0.0,0.035729396760936324,29.686084142394822,0.2095578585446801,0.0,0.2095578585446801
0.0,0.035908939134801504,29.615384615384613,0.26910326651216127,0.0,0.26910326651216127
0.0,0.03608848147357734,29.626451612903224,0.2871866477670847,0.0,0.2871866477670847
0.0,0.0362680237770884,29.684887459807072,0.29501848654582286,0.0,0.29501848654582286
0.0,0.036447566045159266,29.633933933933935,0.1765727461736378,0.0,0.1765727461736378
0.0,0.03662710827761448,29.612578616352202,0.2317240952658381,0.0,0.2317240952658381
0.0,0.03680665047427863,29.568882175226584,0.269597642764791,0.0,0.269597642764791
0.0,0.03698619263497627,29.523974763406944,0.3319399038260066,0.0,0.3319399038260066
0.0,0.03716573475953198,29.507339449541284,0.31646707392521445,0.0,0.31646707392521445
0.0,0.037345276847770316,29.5027108433735,0.31890023790485555,0.0,0.31890023790485555
0.0,0.037524818899515845,29.472171253822626,0.3043610916976535,0.0,0.3043610916976535
0.0,0.03770436091459316,29.47021276595745,0.2797774516233069,0.0,0.2797774516233069
0.0,0.03788390289282678,29.495562130177518,0.23458478948635478,0.0,0.23458478948635478
0.0,0.03806344483404133,29.485671641791043,0.2494817082362297,0.0,0.2494817082362297
0.0,0.03824298673806135,29.344807121661724,0.27379190177355034,0.0,0.27379190177355034
0.0,0.038422528604711396,29.345400593471812,0.22647462807302252,0.0,0.22647462807302252
0.0,0.03860207043381606,29.408433734939756,0.21105926984359985,0.0,0.21105926984359985
0.0,0.038781612225199914,29.469164265129685,0.21186476324820988,0.0,0.21186476324820988
0.0,0.038961153978687504,29.52202898550725,0.24757576984522178,0.0,0.24757576984522178
0.0,0.039140695694103424,29.440882352941173,0.3449949851701964,0.0,0.3449949851701964
0.0,0.03932023737127223,29.371181556195967,0.3851373425372381,0.0,0.3851373425372381
0.0,0.03949977901001849,29.32507204610951,0.3156607690759082,0.0,0.3156607690759082
0.0,0.0396793206101668,29.351428571428574,0.23275107137072226,0.0,0.23275107137072226
0.0,0.03985886217154169,29.47955182072829,0.2288698825918616,0.0,0.2288698825918616
0.0,0.04003840369396776,29.514492753623195,0.26359366742703505,0.0,0.26359366742703505
0.0,0.04021794517726957,29.487186629526462,0.295680712761251,0.0,0.295680712761251
0.0,0.0403974866212717,29.453142857142858,0.31147889501666687,0.0,0.31147889501666687
0.0,0.040577028025798705,29.395238095238092,0.30708368048707396,0.0,0.30708368048707396
0.0,0.04075656939067518,29.427323943661975,0.3115957737274778,0.0,0.3115957737274778
0.0,0.04093611071572567,29.527472527472533,0.21153489364725692,0.0,0.21153489364725692
0.0,0.041115652000774765,29.607999999999997,0.21616125667905617,0.0,0.21616125667905617
0.0,0.04129519324564705,29.5991452991453,0.2211753043895129,0.0,0.2211753043895129
0.0,0.04147473445016706,29.548476454293628,0.2719397791204132,0.0,0.2719397791204132
0.0,0.04165427561415941,29.48104395604396,0.30317885212334095,0.0,0.30317885212334095
0.0,0.04183381673744864,29.437127371273714,0.3087577297787374,0.0,0.3087577297787374
0.0,0.042013357819859334,29.411609498680736,0.29115470318619113,0.0,0.29115470318619113
0.0,0.04219289886121608,29.356629834254147,0.3327793821008197,0.0,0.3327793821008197
0.0,0.042372439861343425,29.34932614555256,0.32435005089371505,0.0,0.32435005089371505
0.0,0.04255198082006596,29.355118110236226,0.2602506140761714,0.0,0.2602506140761714
0.0,0.042731521737208275,29.46153846153846,0.21780014636272485,0.0,0.21780014636272485
0.0,0.04291106261259491,29.514025974025976,0.1817790310343612,0.0,0.1817790310343612
0.0,0.043090603446050466,29.522615803814716,0.1717390943744512,0.0,0.1717390943744512
0.0,0.0432701442373995,29.45139949109415,0.227239997430736,0.0,0.227239997430736
0.0,0.04344968498646659,29.36211340206185,0.18525621883553167,0.0,0.18525621883553167
0.0,0.043629225693076326,29.314248021108188,0.18011061222983482,0.0,0.18011061222983482
0.0,0.043808766357053275,29.336503856041134,0.2453914342581104,0.0,0.2453914342581104
0.0,0.043988306978222015,29.39839572192513,0.22824266134913118,0.0,0.22824266134913118
0.0,0.044167847556407104,29.442962962962962,0.21701498504533376,0.0,0.21701498504533376
0.0,0.04434738809143315,29.48294573643411,0.19868247131718916,0.0,0.19868247131718916
0.0,0.0445269285831247,29.47780678851175,0.19527861820018536,0.0,0.19527861820018536
0.0,0.04470646903130635,29.404081632653067,0.2172151559850855,0.0,0.2172151559850855
0.0,0.04488600943580268,29.315938303341902,0.19414595892290293,0.0,0.19414595892290293
0.0,0.04506554979643826,29.28902743142145,0.18299023494533523,0.0,0.18299023494533523
0.0,0.04524509011303765,29.268686868686864,0.20731139005874358,0.0,0.20731139005874358
0.0,0.045424630385425456,29.277192982456143,0.2063684167759804,0.0,0.2063684167759804
0.0,0.04560417061342625,29.396049382716047,0.2723025832510842,0.0,0.2723025832510842
0.0,0.04578371079686459,29.39361179361179,0.2938636568431714,0.0,0.2938636568431714
0.0,0.04596325093556509,29.36275,0.30539001702740737,0.0,0.30539001702740737
0.0,0.04614279102935229,29.29172932330827,0.21891968758359664,0.0,0.21891968758359664
0.0,0.04632233107805078,29.201686746987953,0.16532666915414787,0.0,0.16532666915414787
0.0,0.04650187108148516,29.11625615763547,0.19752036096118936,0.0,0.19752036096118936
0.0,0.046681411039479995,29.043795620437958,0.21752695704771732,0.0,0.21752695704771732
0.0,0.04686095095185987,29.02408759124088,0.18976994789500667,0.0,0.18976994789500667
0.0,0.047040490818449354,29.04441747572816,0.20411178273401162,0.0,0.20411178273401162
0.0,0.047220030639073055,29.032771084337348,0.21760036802053828,0.0,0.21760036802053828
0.0,0.047399570413555504,29.040632603406323,0.2234606095162219,0.0,0.2234606095162219
0.0,0.04757911014172133,29.06791569086651,0.21997103446704724,0.0,0.21997103446704724
0.0,0.0477586498233951,29.084449760765544,0.2578167186327366,0.0,0.2578167186327366
0.0,0.047938189458401365,29.072901678657075,0.2599595599183537,0.0,0.2599595599183537
0.0,0.048117729046564764,29.169696969696968,0.32487148629018575,0.0,0.32487148629018575
0.0,0.04829726858770982,29.216428571428573,0.307505231045133,0.0,0.307505231045133
0.0,0.04847680808166117,29.262174940898348,0.17606643865233287,0.0,0.17606643865233287
0.0,0.04865634752824335,29.207159353348725,0.11314063953427379,0.0,0.11314063953427379
0.0,0.04883588692728097,29.160277136258667,0.18633907365767693,0.0,0.18633907365767693
0.0,0.04901542627859861,29.225934579439247,0.23522375396509615,0.0,0.23522375396509615
0.0,0.049194965582020835,29.223640661938532,0.19418814440510246,0.0,0.19418814440510246
0.0,0.049374504837372254,29.1941309255079,0.15729277729366956,0.0,0.15729277729366956
0.0,0.04955404404447743,29.25416666666667,0.15150918314933734,0.0,0.15150918314933734
0.0,0.04973358320316096,29.33424036281179,0.1995908010987364,0.0,0.1995908010987364
0.0,0.04991312231324743,29.34367816091954,0.17037336692946922,0.0,0.17037336692946922
0.0,0.05009266137456141,29.33447488584475,0.1570080883040705,0.0,0.1570080883040705
0.0,0.05027220038692751,29.283892617449663,0.21009665460742452,0.0,0.21009665460742452
0.0,0.050451739350170284,29.27231121281464,0.25481142596068157,0.0,0.25481142596068157
0.0,0.05063127826411433,29.25101123595506,0.2052610643351913,0.0,0.2052610643351913
